date,GDP,Debt
1966-01-01,795.734,320999.0
1966-04-01,804.981,316097.0
1966-07-01,819.638,324748.0
1966-10-01,833.302,329319.0
1967-01-01,844.17,330947.0
1967-04-01,848.983,322893.0
1967-07-01,865.233,335896.0
1967-10-01,881.439,344663.0
1968-01-01,909.387,349473.0
1968-04-01,934.344,345369.0
1968-07-01,950.825,354743.0
1968-10-01,968.03,358029.0
1969-01-01,993.337,359546.0
1969-04-01,1009.02,352895.0
1969-07-01,1029.956,360685.0
1969-10-01,1038.147,368226.0
1970-01-01,1051.2,372007.0
1970-04-01,1067.375,370094.0
1970-07-01,1086.059,378678.0
1970-10-01,1088.608,389158.0
1971-01-01,1135.156,391668.0
1971-04-01,1156.271,397305.0
1971-07-01,1177.675,412268.0
1971-10-01,1190.297,424131.0
1972-01-01,1230.609,427344.0
1972-04-01,1266.369,426435.0
1972-07-01,1290.566,433946.0
1972-10-01,1328.904,448473.0
1973-01-01,1377.49,458606.0
1973-04-01,1413.887,457317.0
1973-07-01,1433.838,460614.0
1973-10-01,1476.289,469073.0
1974-01-01,1491.209,473675.0
1974-04-01,1530.056,474235.0
1974-07-01,1560.026,481466.0
1974-10-01,1599.679,492664.0
1975-01-01,1616.116,509659.0
1975-04-01,1651.853,533188.0
1975-07-01,1709.82,553647.0
1975-10-01,1761.831,576649.0
1976-01-01,1820.487,600490.0
1976-04-01,1852.332,620432.0
1976-07-01,1886.558,634701.0
1976-10-01,1934.273,653543.0
1977-01-01,1988.648,669207.0
1977-04-01,2055.909,674425.0
1977-07-01,2118.473,698840.0
1977-10-01,2164.27,718943.0
1978-01-01,2202.76,737951.0
1978-04-01,2331.633,749024.0
1978-07-01,2395.053,771544.0
1978-10-01,2476.949,789207.0
1979-01-01,2526.61,796792.0
1979-04-01,2591.247,804913.0
1979-07-01,2667.565,826519.0
1979-10-01,2723.883,845116.0
1980-01-01,2789.842,863451.0
1980-04-01,2797.352,877614.0
1980-07-01,2856.483,907701.0
1980-10-01,2985.557,930210.0
1981-01-01,3124.206,964531.0
1981-04-01,3162.532,971174.0
1981-07-01,3260.609,997855.0
1981-10-01,3280.818,1028729.0
1982-01-01,3274.302,1061299.0
1982-04-01,3331.972,1079630.0
1982-07-01,3366.322,1142035.0
1982-10-01,3402.561,1197074.0
1983-01-01,3473.413,1244493.0
1983-04-01,3578.848,1319581.0
1983-07-01,3689.179,1377211.0
1983-10-01,3794.706,1410702.0
1984-01-01,3908.054,1463741.0
1984-04-01,4009.601,1512697.0
1984-07-01,4084.25,1572267.0
1984-10-01,4148.551,1662966.0
1985-01-01,4230.168,1710731.0
1985-04-01,4294.887,1774640.0
1985-07-01,4386.773,1823103.0
1985-10-01,4444.094,1945942.0
1986-01-01,4507.894,1986816.0
1986-04-01,4545.34,2059349.0
1986-07-01,4607.669,2125304.0
1986-10-01,4657.627,2214835.0
1987-01-01,4722.156,2246724.0
1987-04-01,4806.16,2309296.0
1987-07-01,4884.555,2350277.0
1987-10-01,5007.994,2431715.0
1988-01-01,5073.372,2487551.0
1988-04-01,5190.036,2547656.0
1988-07-01,5282.835,2602183.0
1988-10-01,5399.509,2684392.0
1989-01-01,5511.253,2740898.0
1989-04-01,5612.463,2799923.0
1989-07-01,5695.365,2857431.0
1989-10-01,5747.237,2952994.0
1990-01-01,5872.701,3051958.0
1990-04-01,5960.028,3143754.0
1990-07-01,6015.116,3233313.0
1990-10-01,6004.733,3364820.0
1991-01-01,6035.178,3465189.0
1991-04-01,6126.862,3537988.0
1991-07-01,6205.937,3665303.0
1991-10-01,6264.54,3801698.0
1992-01-01,6363.102,3881288.0
1992-04-01,6470.763,3984656.0
1992-07-01,6566.641,4064621.0
1992-10-01,6680.803,4177009.0
1993-01-01,6729.459,4230580.0
1993-04-01,6808.939,4351950.0
1993-07-01,6882.098,4411489.0
