date,realtime_start,realtime_end,value
1929-01-01,2024-09-27,2024-09-27,104.556
1930-01-01,2024-09-27,2024-09-27,92.16
1931-01-01,2024-09-27,2024-09-27,77.391
1932-01-01,2024-09-27,2024-09-27,59.522
1933-01-01,2024-09-27,2024-09-27,57.154
1934-01-01,2024-09-27,2024-09-27,66.8
1935-01-01,2024-09-27,2024-09-27,74.241
1936-01-01,2024-09-27,2024-09-27,84.83
1937-01-01,2024-09-27,2024-09-27,93.003
1938-01-01,2024-09-27,2024-09-27,87.352
1939-01-01,2024-09-27,2024-09-27,93.437
1940-01-01,2024-09-27,2024-09-27,102.899
1941-01-01,2024-09-27,2024-09-27,129.309
1942-01-01,2024-09-27,2024-09-27,165.952
1943-01-01,2024-09-27,2024-09-27,203.084
1944-01-01,2024-09-27,2024-09-27,224.447
1945-01-01,2024-09-27,2024-09-27,228.007
1946-01-01,2024-09-27,2024-09-27,227.535
1947-01-01,2024-09-27,2024-09-27,249.616
1948-01-01,2024-09-27,2024-09-27,274.468
1949-01-01,2024-09-27,2024-09-27,272.475
1950-01-01,2024-09-27,2024-09-27,299.827
1951-01-01,2024-09-27,2024-09-27,346.914
1952-01-01,2024-09-27,2024-09-27,367.341
1953-01-01,2024-09-27,2024-09-27,389.218
1954-01-01,2024-09-27,2024-09-27,390.549
1955-01-01,2024-09-27,2024-09-27,425.478
1956-01-01,2024-09-27,2024-09-27,449.353
1957-01-01,2024-09-27,2024-09-27,474.039
1958-01-01,2024-09-27,2024-09-27,481.229
1959-01-01,2024-09-27,2024-09-27,521.654
1960-01-01,2024-09-27,2024-09-27,542.382
1961-01-01,2024-09-27,2024-09-27,562.209
1962-01-01,2024-09-27,2024-09-27,603.922
1963-01-01,2024-09-27,2024-09-27,637.45
1964-01-01,2024-09-27,2024-09-27,684.46
1965-01-01,2024-09-27,2024-09-27,742.289
1966-01-01,2024-09-27,2024-09-27,813.414
1967-01-01,2024-09-27,2024-09-27,859.959
1968-01-01,2024-09-27,2024-09-27,940.651
1969-01-01,2024-09-27,2024-09-27,1017.615
1970-01-01,2024-09-27,2024-09-27,1073.303
1971-01-01,2024-09-27,2024-09-27,1164.85
1972-01-01,2024-09-27,2024-09-27,1279.11
1973-01-01,2024-09-27,2024-09-27,1425.376
1974-01-01,2024-09-27,2024-09-27,1545.243
1975-01-01,2024-09-27,2024-09-27,1684.904
1976-01-01,2024-09-27,2024-09-27,1873.412
1977-01-01,2024-09-27,2024-09-27,2081.826
1978-01-01,2024-09-27,2024-09-27,2351.599
1979-01-01,2024-09-27,2024-09-27,2627.333
1980-01-01,2024-09-27,2024-09-27,2857.307
1981-01-01,2024-09-27,2024-09-27,3207.041
1982-01-01,2024-09-27,2024-09-27,3343.789
1983-01-01,2024-09-27,2024-09-27,3634.038
1984-01-01,2024-09-27,2024-09-27,4037.613
1985-01-01,2024-09-27,2024-09-27,4338.979
1986-01-01,2024-09-27,2024-09-27,4579.631
1987-01-01,2024-09-27,2024-09-27,4855.215
1988-01-01,2024-09-27,2024-09-27,5236.438
1989-01-01,2024-09-27,2024-09-27,5641.58
1990-01-01,2024-09-27,2024-09-27,5963.144
1991-01-01,2024-09-27,2024-09-27,6158.129
1992-01-01,2024-09-27,2024-09-27,6520.327
1993-01-01,2024-09-27,2024-09-27,6858.559
1994-01-01,2024-09-27,2024-09-27,7287.236
1995-01-01,2024-09-27,2024-09-27,7639.749
1996-01-01,2024-09-27,2024-09-27,8073.122
1997-01-01,2024-09-27,2024-09-27,8577.552
1998-01-01,2024-09-27,2024-09-27,9062.817
1999-01-01,2024-09-27,2024-09-27,9631.172
2000-01-01,2024-09-27,2024-09-27,10250.952
2001-01-01,2024-09-27,2024-09-27,10581.929
2002-01-01,2024-09-27,2024-09-27,10929.108
2003-01-01,2024-09-27,2024-09-27,11456.45
2004-01-01,2024-09-27,2024-09-27,12217.196
2005-01-01,2024-09-27,2024-09-27,13039.197
2006-01-01,2024-09-27,2024-09-27,13815.583
2007-01-01,2024-09-27,2024-09-27,14474.228
2008-01-01,2024-09-27,2024-09-27,14769.862
2009-01-01,2024-09-27,2024-09-27,14478.067
2010-01-01,2024-09-27,2024-09-27,15048.971
2011-01-01,2024-09-27,2024-09-27,15599.732
2012-01-01,2024-09-27,2024-09-27,16253.97
2013-01-01,2024-09-27,2024-09-27,16880.683
2014-01-01,2024-09-27,2024-09-27,17608.138
2015-01-01,2024-09-27,2024-09-27,18295.019
2016-01-01,2024-09-27,2024-09-27,18804.913
2017-01-01,2024-09-27,2024-09-27,19612.102
2018-01-01,2024-09-27,2024-09-27,20656.516
2019-01-01,2024-09-27,2024-09-27,21539.982
2020-01-01,2024-09-27,2024-09-27,21354.105
2021-01-01,2024-09-27,2024-09-27,23681.171
2022-01-01,2024-09-27,2024-09-27,26006.893
2023-01-01,2024-09-27,2024-09-27,27720.709
